rank,inep_code,school,state,city,school_type,location,students,ch,cn,lc,mt,rd,average_exam
6359,35005770,CELESTINA VALENTE LENGENFELDER PROFA,São Paulo,Francisco Morato,Estadual,Urbana,34,505.79,478.29,527.96,500.81,622.35,527.04
6360,35908861,JOSE STOROPOLI DEPUTADO,São Paulo,Guarulhos,Estadual,Urbana,115,518.48,474.63,535.01,524.44,582.61,527.03
6361,51015960,EE N SENHORA APARECIDA,Mato Grosso,Santa Carmem,Estadual,Urbana,19,517.03,471.88,516.88,518.83,610.53,527.03
6362,22142258,IFPI - CAMPUS COCAL,Piauí,Cocal,Federal,Rural,70,506.45,481.58,503.4,505.32,638.29,527.01
6363,31043222,EE PEDRO RIBEIRO CAVALCANTE FILHO,Minas Gerais,Governador Valadares,Estadual,Urbana,30,510.11,459.88,520.29,536.69,608,526.99
6364,53008790,CEM INTEGRADO DO CRUZEIRO,Distrito Federal,Brasília,Estadual,Urbana,48,513.42,471.87,526.82,537.37,585.42,526.98
6365,32054343,EEEM EMILIO NEMER,Espirito Santo,Castelo,Estadual,Urbana,122,503.59,475.52,513.36,538.17,604.26,526.98
6366,43064876,ESC EST ED BAS SEPE TIARAJU,Rio Grande do Sul,Frederico Westphalen,Estadual,Urbana,24,529.7,468.27,528.34,517.72,590.83,526.97
6367,35406272,MARIO COVAS GOVERNADOR,São Paulo,Monte Mor,Estadual,Urbana,12,528.26,471.07,531.03,521.15,583.33,526.97
6368,35025653,ANTONIO FERRAZ,São Paulo,Mineiros do Tietê,Estadual,Urbana,25,524.54,488.8,538.52,540.58,542.4,526.97
6369,41076877,TARQUINIO SANTOS C E EF M,Paraná,Foz do Iguaçu,Estadual,Urbana,36,525.42,467.8,543.12,520.7,577.78,526.96
6370,12028037,ESC JORNALISTA ARMANDO NOGUEIRA,Acre,Rio Branco,Estadual,Urbana,93,510.53,474.58,529.36,504.84,615.48,526.96
6371,22017011,CETI PRES CASTELO BRANCO,Piauí,Piracuruca,Estadual,Urbana,42,497.8,475.91,517.05,514.87,629.05,526.94
6372,42070589,EEB MARIA RITA FLOR,Santa Catarina,Bombinhas,Estadual,Urbana,77,513.21,469.46,526.22,519.49,606.23,526.93
6373,52058840,COLEGIO ESTADUAL OSEAS BORGES GUIMARAES,Goiás,Goiatuba,Estadual,Urbana,28,505.32,486.43,526.55,529.89,586.43,526.92
6374,43141897,COL ESTADUAL SAO MARCOS,Rio Grande do Sul,São Marcos,Estadual,Urbana,48,514.84,463.42,527.23,539.12,590,526.92
6375,41073100,ANTONIO F F COSTA C E DES EF M N P,Paraná,Guaraniaçu,Estadual,Urbana,50,516.01,473.46,523.31,514.62,607.2,526.92
6376,31140716,EE BOLIVAR DE FREITAS,Minas Gerais,Curvelo,Estadual,Urbana,94,517.99,471.75,526.9,524.05,593.83,526.9
