rank,inep_code,school,state,city,school_type,location,students,ch,cn,lc,mt,rd,average_exam
10022,15583430,EEEM PROF GERSON PERES,Pará,Breves,Estadual,Urbana,136,485.73,454.84,490.14,486.65,595.74,502.62
10023,31128678,EE PRESIDENTE TANCREDO NEVES,Minas Gerais,Dom Silvério,Estadual,Urbana,19,483.05,467.96,480.56,530.98,550.53,502.62
10024,35924039,CLAUDINEI GARCIA PROFESSOR,São Paulo,Osasco,Estadual,Urbana,26,500.7,474.99,530.58,495.27,511.54,502.62
10025,21127328,CENTRO DE ENSINO ANA ISABEL TAVARES,Maranhão,Dom Pedro,Estadual,Urbana,114,492.68,450.54,505.98,516.68,547.19,502.61
10026,35012051,ABRAHAO JACOB LAFER DOUTOR,São Paulo,Praia Grande,Estadual,Urbana,77,498.72,449.25,528.17,496.93,540,502.61
10027,43059678,INST EST EDUC DR RUY PIEGAS SILVEIRA,Rio Grande do Sul,Espumoso,Estadual,Urbana,20,494.47,444.41,506.97,517.19,550,502.61
10028,42092230,EEB PREF LAURO ZIMMERMANN,Santa Catarina,Guaramirim,Estadual,Urbana,42,488.05,441.82,521.11,505.84,556.19,502.6
10029,31080730,EE ANTONIO PIMENTA,Minas Gerais,Glaucilândia,Estadual,Urbana,11,495.27,454.53,504.13,464.51,594.55,502.6
10030,31108669,EE DOUTOR JOSE PACHECO PIMENTA,Minas Gerais,Brasilândia de Minas,Estadual,Urbana,37,483.68,464.57,503.73,515.04,545.95,502.59
10031,41134273,VICTOR DO AMARAL C E PROF EF M PROFIS,Paraná,Curitiba,Estadual,Urbana,34,495.08,457.35,509.54,517.98,532.94,502.58
10032,31056430,EE PRESIDENTE ARTHUR DA COSTA E SILVA,Minas Gerais,Pouso Alegre,Estadual,Urbana,35,491.11,446.31,525.11,518.93,531.43,502.58
10033,31082856,EE OSWALDO LUCAS MENDES,Minas Gerais,Taiobeiras,Estadual,Urbana,140,492.16,465.16,505.52,511.86,538.14,502.57
10034,26039702,ESCOLA DE REFERENCIA EM ENSINO MEDIO TERCINA RORIZ,Pernambuco,Belém do São Francisco,Estadual,Urbana,55,492.28,441.73,506.24,508.24,564.36,502.57
10035,31043036,CESEC DE GOVERNADOR VALADARES,Minas Gerais,Governador Valadares,Estadual,Urbana,23,501.1,467.9,527.14,487.14,529.57,502.57
10036,35923229,JARDIM ORATORIO,São Paulo,Mauá,Estadual,Urbana,15,495.39,440.39,512.38,505.99,558.67,502.56
10037,24025569,ESCOLA ESTADUAL PROFESSORA CLARA TETEO,Rio Grande do Norte,Macau,Estadual,Urbana,72,488.51,461.37,495.8,484.34,582.78,502.56
10038,41141725,ALFREDO GREIPEL JUNIOR C E C EF M,Paraná,Piên,Estadual,Urbana,14,491.83,447.14,489.62,554.14,530,502.54
10039,35016950,RISOLETA LOPES ARANHA PROFESSORA,São Paulo,Americana,Estadual,Urbana,16,498.72,483.24,521.04,515.97,493.75,502.54
10040,32052189,EEEFM AGOSTINHO SIMONATO,Espirito Santo,Cachoeiro de Itapemirim,Estadual,Urbana,46,500.93,454.05,514.22,493.5,550,502.54
10041,33146950,CE PROFESSORA MARIA DE LOURDES DE OLIVEIRA LAVOR TIA LAVOR,Rio de Janeiro,Rio de Janeiro,Estadual,Urbana,86,489.85,467.04,511.23,489.7,554.88,502.54
10042,41008316,MANUEL DA NOBREGA C E PE EF M,Paraná,Umuarama,Estadual,Urbana,18,480.67,469.28,517.73,476.09,568.89,502.53
10043,35021726,MICHEL ANTONIO ALEM PROFESSOR,São Paulo,Rio Claro,Estadual,Urbana,44,498.5,468.35,515.08,515.21,515.45,502.52
10044,29386543,EE - COLEGIO ESTADUAL JOSE AUGUSTO TOURINHO DANTAS,Bahia,Salvador,Estadual,Urbana,46,504.01,471.76,504.94,497.09,534.78,502.52
10045,33011095,CE MANOEL PEREIRA GONCALVES,Rio de Janeiro,Campos dos Goytacazes,Estadual,Rural,23,492.49,457.1,518.46,507.13,537.39,502.51
10046,24079979,ESCOLA ESTADUAL PROFESSORA ISABEL BARBOSA VIEIRA ENSINO MEDIO EM TEMPO INTEGRAL,Rio Grande do Norte,Touros,Estadual,Urbana,29,462.99,433.82,460.5,463.48,691.72,502.5
10047,42040930,EEB ALINOR VIEIRA CORTE,Santa Catarina,Papanduva,Estadual,Urbana,58,492.96,451.56,511.57,496.34,560,502.49
10048,33038929,CE PRESIDENTE RODRIGUES ALVES,Rio de Janeiro,Paracambi,Estadual,Urbana,102,479.42,453.92,511.76,488.08,579.22,502.48
10049,35002811,SILVA PRADO DEPUTADO,São Paulo,São Paulo,Estadual,Urbana,82,500.77,458.16,523.3,488.92,541.22,502.47
10050,43138497,INST EST EDUC SAO JOSE,Rio Grande do Sul,São José do Norte,Estadual,Urbana,80,491.88,459.74,514.78,493.44,552.5,502.47
10051,35920496,JOSE DA COSTA BOUCINHAS PROFESSOR,São Paulo,Guarulhos,Estadual,Urbana,15,496.4,450.97,532.05,475.58,557.33,502.47
10052,43088414,ESC EST ENS MED PE SIMAO MOSER,Rio Grande do Sul,Mostardas,Estadual,Urbana,41,489.57,444.43,508.38,499.69,570.24,502.46
10053,35004327,ITAUNA VISCONDE DE,São Paulo,São Paulo,Estadual,Urbana,56,497.23,447.92,525.34,510.38,531.43,502.46
10054,31035505,EE PADRE JOAQUIM XAVIER LOPES CANCADO,Minas Gerais,Pitangui,Estadual,Urbana,37,489.06,446.9,502.53,512.72,561.08,502.46
10055,33079374,CE LEOPOLDINA DA SILVEIRA,Rio de Janeiro,Rio de Janeiro,Estadual,Urbana,122,496.43,462.49,521.62,492.9,538.69,502.43
10056,52065600,COLEGIO ESTADUAL GETULIO EVANGELISTA DA ROCHA,Goiás,Cumari,Estadual,Urbana,11,481.57,456.84,520.6,500.36,552.73,502.42
10057,33083592,IE SARAH KUBITSCHEK,Rio de Janeiro,Rio de Janeiro,Estadual,Urbana,335,499.67,453.97,526.39,489.74,542.33,502.42
10058,35000176,ZENAIDE VILALVA DE ARAUJO PROFESSORA,São Paulo,São Paulo,Estadual,Urbana,46,498.36,454.86,519.69,501.32,537.83,502.41
10059,43113958,INST EST EDUC ERNESTO ALVES,Rio Grande do Sul,Rio Pardo,Estadual,Urbana,79,484.79,442.12,513.67,522.82,548.61,502.4
10060,31166740,EE RAUL SOARES,Minas Gerais,Araguari,Estadual,Urbana,52,496.91,464.94,513.84,508.23,528.08,502.4
10061,41018753,HELENA KOLODY C E EM PROFIS,Paraná,Terra Boa,Estadual,Urbana,100,489.4,459.47,513.94,507.74,541.4,502.39
10062,35905471,RUY RODRIGUEZ,São Paulo,Campinas,Estadual,Urbana,35,504.88,470.11,520.47,503.9,512.57,502.39
10063,41131479,NATALIA REGINATO C E EF M PROFIS,Paraná,Curitiba,Estadual,Urbana,25,496.23,448.63,514.93,504.1,548,502.38
10064,35912384,MERCEDES VALENTINA GIANNOCARIO PROFESSORA,São Paulo,Mauá,Estadual,Urbana,17,500.13,471.61,517.94,522.22,500,502.38
10065,25094661,EEEF PEDRO LINS VIEIRA DE MELO,Paraíba,João Pessoa,Estadual,Urbana,59,485.87,458.91,517.34,487.31,562.37,502.36
10066,42022770,EEB DEP JOAO CUSTODIO DA LUZ,Santa Catarina,Rio do Sul,Estadual,Urbana,13,496.52,484.8,510.94,504.14,515.38,502.36
10067,35015428,SIMPLICIANO CAMPOLIM DE ALMEIDA,São Paulo,Nova Campina,Estadual,Urbana,22,500.15,441.71,511.52,509.3,549.09,502.35
10068,35004736,JOAO AMOS COMENIUS,São Paulo,São Paulo,Estadual,Urbana,52,507.1,457.26,515.25,513.66,518.46,502.35
10069,31002208,EE MENINO JESUS DE PRAGA,Minas Gerais,Belo Horizonte,Estadual,Urbana,44,490.26,469.45,512.18,490.26,549.55,502.34
10070,29277680,EE - CENTRO INTEGRADO DE EDUCACAO LUIZ NAVARRO DE BRITO,Bahia,Vitória da Conquista,Estadual,Urbana,209,496.96,455.62,507.62,486.3,565.17,502.34
10071,35036298,JOAO SUSSUMU HIRATA DEPUTADO,São Paulo,São Paulo,Estadual,Urbana,20,492.71,451.04,507.64,479.25,581,502.33
10072,41060911,VESPASIANO C MELLO C E MJR EF M PROFIS N,Paraná,Castro,Estadual,Urbana,58,513.38,456.51,527.98,500.94,512.76,502.31
10073,32013728,EEEFM SEBASTIANA GRILO,Espirito Santo,Pancas,Estadual,Urbana,29,479.49,452.27,489.12,514.81,575.86,502.31
10074,33049793,CE ALEXANDER GRAHAM BELL,Rio de Janeiro,Duque de Caxias,Estadual,Urbana,49,488.72,452.21,511.31,513.59,545.71,502.31
10075,15127311,EEEM PROF ANISIO TEIXEIRA,Pará,Marabá,Estadual,Urbana,206,480.07,447.59,495.2,487.38,601.26,502.3
10076,35005290,LEVI CARNEIRO,São Paulo,São Paulo,Estadual,Urbana,42,491.43,451.62,522.04,484.49,561.9,502.3
10077,26121310,ESCOLA MANOEL BORBA,Pernambuco,Recife,Estadual,Urbana,140,495.85,453.32,514.07,497.82,550.43,502.3
10078,41106075,SIGISMUNDO C E PE EF M N PROFIS,Paraná,Quedas do Iguaçu,Estadual,Urbana,28,481.6,454.32,507.18,499.08,569.29,502.29
10079,42029945,EEB NS DO ROSARIO,Santa Catarina,Lages,Estadual,Urbana,66,503.75,450.29,518.28,506.72,532.42,502.29
10080,33058270,CIEP 359 CHARLES PERRAULT,Rio de Janeiro,Nova Iguaçu,Estadual,Urbana,19,498.35,454.47,515.59,476.72,566.32,502.29
10081,41125983,HERACLITO F SOBRAL PINTO C E EF M,Paraná,Colombo,Estadual,Urbana,26,502.87,467.97,519.3,521.26,500,502.28
10082,15525791,EEEM BENEDITO CORREA DE SOUZA,Pará,Itaituba,Estadual,Urbana,59,487.34,447.22,500.4,480.49,595.93,502.28
10083,31043346,EE ALEXANDRE PEIXOTO DA SILVA,Minas Gerais,Governador Valadares,Estadual,Urbana,15,479.37,467.39,496.33,501.62,566.67,502.27
10084,35127875,YOLANDA LUIZ SICHIERI PROFESSORA,São Paulo,Pontal,Estadual,Urbana,45,477.22,447.72,507.86,506.12,572.44,502.27
10085,35008321,JOSE BRANCAGLIONE PROFESSOR,São Paulo,Santo André,Estadual,Urbana,20,503.53,467.04,524.05,497.7,519,502.27
10086,29000840,EE - COLEGIO ESTADUAL ANTONIO GERALDO,Bahia,Barreiras,Estadual,Urbana,155,479.76,454.44,501.8,486.92,588.39,502.26
10087,24024902,ESCOLA ESTADUAL 11 DE AGOSTO,Rio Grande do Norte,Umarizal,Estadual,Urbana,42,488.23,446.98,495,485.37,595.71,502.26
10088,35005708,DOMINGOS CAMBIAGHI PROF,São Paulo,Franco da Rocha,Estadual,Urbana,40,480.36,462.98,518.79,492.14,557,502.26
10089,41135911,SEMIRAMIS DE B BRAGA C E EF M,Paraná,Pinhais,Estadual,Urbana,25,506.88,456.78,529.53,522.08,496,502.25
10090,43108903,ESC EST ENS MED PRESIDENTE COSTA E SILVA,Rio Grande do Sul,Porto Alegre,Estadual,Urbana,11,525.77,485.66,533.43,475.49,490.91,502.25
10091,31315486,IEC-UNIDADE NOVA CONTAGEM,Minas Gerais,Contagem,Municipal,Urbana,29,487.27,460.22,520.41,492.32,551.03,502.25
10092,42035767,EEB CASIMIRO DE ABREU,Santa Catarina,Curitibanos,Estadual,Urbana,149,495.55,454.16,508.78,503.69,548.99,502.24
10093,35908885,ROBERTO AMAURY GALLIERA DOUTOR,São Paulo,Guarujá,Estadual,Urbana,22,490.47,446.44,520.56,497.33,556.36,502.23
10094,31191477,EE SALVELINO FERNANDES MADEIRA,Minas Gerais,Santana do Paraíso,Estadual,Urbana,11,485.58,460.03,531.1,510.81,523.64,502.23
10095,35031252,JULIETA GUEDES MENDONCA PROFA,São Paulo,Dracena,Estadual,Urbana,30,496.28,477.44,520.03,513.38,504,502.22
10096,29093546,EE - COLEGIO ESTADUAL JOSE FERREIRA PINTO,Bahia,Feira de Santana,Estadual,Urbana,58,491.94,465.92,509.9,511.96,531.38,502.22
10097,26047187,ESCOLA DE REFERENCIA EM ENSINO MEDIO PEDRO DE ALCANTARA RAMOS,Pernambuco,Itaíba,Estadual,Urbana,49,477.94,449.92,500.72,489.43,593.06,502.21
10098,41366611,MARIA DE L R MOROZOWSKI C E PROF EF M,Paraná,Paranaguá,Estadual,Urbana,21,489.74,451.88,524.7,482.83,561.9,502.21
10099,15035662,EEEFM JORNALISTA ROMULO MAIORANA,Pará,Ananindeua,Estadual,Urbana,90,497.85,462.22,500.84,478.56,571.56,502.2
10100,35048461,ARLINDO SILVESTRE PROFESSOR,São Paulo,Limeira,Estadual,Urbana,19,502.88,474.73,522.26,523.75,487.37,502.2
10101,33039593,CE CENTENARIO,Rio de Janeiro,Vassouras,Estadual,Urbana,10,506.46,462.23,511.29,493,538,502.2
10102,35047296,ARY LEITE PEREIRA PROFESSOR,São Paulo,Limeira,Estadual,Urbana,23,492.2,440.27,518.8,504.91,554.78,502.19
10103,33052786,CIEP 128 MAGEPE MIRIM,Rio de Janeiro,Magé,Estadual,Urbana,91,491.38,435.63,514.9,488.37,580.66,502.19
10104,32007094,EFA - ESCOLA FAMILIA AGRICOLA DE CHAPADINHA,Espirito Santo,Nova Venécia,Privada,Rural,10,468.67,472.57,520.64,517.05,532,502.19
10105,35029804,VITOR ANTONIO TRINDADE PROF,São Paulo,Araçatuba,Estadual,Urbana,29,486.54,477.83,516.31,512.31,517.93,502.18
10106,35914368,ARIOVALDO DA FONSECA PROF DR,São Paulo,Ibitinga,Estadual,Urbana,19,495.08,470.74,523.85,504.29,516.84,502.16
10107,41135580,AMYNTAS DE BARROS C E EF M PROFIS,Paraná,Pinhais,Estadual,Urbana,36,500.54,478.54,525.81,502,503.89,502.16
10108,35191516,PROFESSORA MARIANA APARECIDA TODESCATO,São Paulo,Cerqueira César,Estadual,Urbana,29,493.98,453.25,508.86,511.24,543.45,502.16
10109,33089086,CE MINISTRO JOSE DE MOURA E SILVA,Rio de Janeiro,São Gonçalo,Estadual,Urbana,33,491.32,436.1,517.63,477.24,588.48,502.15
10110,24001155,CE INTEGRADA PROF ELISEU VIANA,Rio Grande do Norte,Mossoró,Estadual,Urbana,163,487.18,454.18,508.57,488.65,572.15,502.14
10111,52066975,COLEGIO ESTADUAL DR PEDRO LUDOVICO TEIXEIRA,Goiás,Caçu,Estadual,Urbana,35,496.45,450.03,502.49,489.75,572,502.14
10112,35000164,PIO TELLES PEIXOTO PROFESSOR,São Paulo,São Paulo,Estadual,Urbana,16,505.19,461.91,528.31,502.76,512.5,502.13
10113,15127079,EEEM O PEQUENO PRINCIPE,Pará,Marabá,Estadual,Urbana,96,491.14,452.42,499.59,494.18,573.33,502.13
10114,17005370,ESCOLA ESTADUAL JORGE AMADO,Tocantins,Araguaína,Estadual,Urbana,22,467.29,448.44,495.96,507.13,591.82,502.13
10115,35044982,CLAUDIO ABRAHAO PROFESSOR,São Paulo,Mogi das Cruzes,Estadual,Urbana,34,508.47,464.12,520.54,495.71,521.76,502.12
10116,43097839,ESC EST ENS MED ADELINO PEREIRA SIMOES,Rio Grande do Sul,Passo Fundo,Estadual,Urbana,27,505.17,456.15,509.2,488.94,551.11,502.12
10117,35900382,GUALBERTO MOREIRA DOUTOR,São Paulo,Sorocaba,Estadual,Urbana,48,499.2,463.6,520.26,499.56,527.92,502.11
10118,15034399,EEEFM MADRE CELESTE,Pará,Ananindeua,Estadual,Urbana,96,493.05,458.93,511.45,485.6,561.46,502.1
10119,41022840,OLAVO BILAC C E EF M,Paraná,Itambé,Estadual,Urbana,31,508.87,459.79,514.86,489.54,537.42,502.1
10120,35903723,JUDITH SANT ANA DIEGUES PROFESSORA,São Paulo,Ilha Comprida,Estadual,Urbana,42,513.92,463.71,519.62,505.08,508.1,502.09
10121,35923837,JARDIM CRUZEIRO,São Paulo,Mauá,Estadual,Urbana,23,504.86,455.48,522.77,483.83,543.48,502.09
10122,31171174,EE DOUTOR JOAQUIM VILELA,Minas Gerais,Boa Esperança,Estadual,Urbana,53,501.06,452.94,505.97,508.56,541.89,502.08
10123,35018880,CARLOS FRANCISCO DE PAULA PROFESSOR,São Paulo,Campinas,Estadual,Urbana,20,497.96,470.15,521.51,510.79,510,502.08
10124,26289601,COLEGIO GREMIO EDUCATIVO,Pernambuco,Recife,Privada,Urbana,18,497.51,453.92,512.67,499.64,546.67,502.08
10125,13027638,ESCOLA ESTADUAL MARIA RODRIGUES TAPAJOS,Amazonas,Manaus,Estadual,Urbana,49,504.54,449.89,520.18,501.04,534.69,502.07
10126,43164099,ESC EST ENS MED PADRE EFREM,Rio Grande do Sul,Vacaria,Estadual,Urbana,24,512.4,446.62,533.79,506.67,510.83,502.06
10127,25118358,EEEFM DEPUTADO PEDRO PASCOAL DE OLIVEIRA,Paraíba,Juazeirinho,Estadual,Urbana,17,487.51,432.45,493.94,455.22,641.18,502.06
10128,35012828,PAULINA CARDOSO PROFA,São Paulo,Aparecida,Estadual,Urbana,44,503.69,468.89,521,497.13,519.55,502.05
10129,35002860,ESTELA BORGES MORATO,São Paulo,São Paulo,Estadual,Urbana,54,509.15,453.75,521.71,491.93,533.7,502.05
10130,35027248,AKIO SATORU PROFESSOR,São Paulo,Urânia,Estadual,Urbana,31,500.31,465.05,517.8,497.41,529.68,502.05
10131,35033285,CARLOS ALBERTO DE OLIVEIRA PROF,São Paulo,Assis,Estadual,Urbana,41,489.7,455.35,522.08,495.3,547.8,502.05
10132,35909099,JOAO SARMENTO PIMENTEL,São Paulo,São Paulo,Estadual,Urbana,17,491.19,460.6,533.47,460.15,564.71,502.02
10133,43104568,INST EST EDUC PADRE VITORIO,Rio Grande do Sul,Planalto,Estadual,Urbana,48,496.72,443.1,498.46,502.24,569.58,502.02
10134,50005910,EE ARLINDO DE ANDRADE GOMES,Mato Grosso do Sul,Campo Grande,Estadual,Urbana,107,497.33,458.54,516.77,494.85,542.62,502.02
10135,33050791,CE ALEMY TAVARES DA SILVA,Rio de Janeiro,Duque de Caxias,Estadual,Rural,13,503.6,470.62,518.43,498.97,518.46,502.02
10136,43211623,ESC EST ENS MED MAURICIO SIROTSKY SOBRINHO,Rio Grande do Sul,Novo Hamburgo,Estadual,Urbana,21,479.7,434.93,508.89,510.36,576.19,502.01
10137,31124079,EE PROFESSOR PEDRO SATURNINO DE MAGALHAES,Minas Gerais,Cabo Verde,Estadual,Urbana,34,490.29,458.55,506.49,492.39,562.35,502.01
10138,41058496,OLAVO BILAC C E EF M,Paraná,Jaguariaíva,Estadual,Urbana,14,523.41,450.33,505.24,478.23,552.86,502.01
10139,35037114,TADAKIYO SAKAI,São Paulo,Embu das Artes,Estadual,Urbana,39,492.73,450.62,517.45,501.52,547.69,502
10140,35070002,AGOSTINHO LIMA DE VILHENA PROF,São Paulo,Franca,Estadual,Urbana,19,510.44,440.64,537.21,493.25,528.42,501.99
10141,41048008,JOAQUIM A DE MOURA C E PROF EF M PROF N,Paraná,Ribeirão Claro,Estadual,Urbana,18,508.32,483.77,532.26,523.37,462.22,501.99
10142,26035316,ESCOLA DE REFERENCIA EM ENSINO MEDIO JORNALISTA JOAO FERREIRA GOMES,Pernambuco,Petrolina,Estadual,Urbana,75,485.51,456.88,509.67,503.46,554.4,501.98
10143,22082409,U E MIGUEL LIDIANO,Piauí,Picos,Estadual,Urbana,28,488.33,444.66,477.52,485.83,613.57,501.98
10144,52000842,COLEGIO ESTADUAL OTAVIANO SANTOS CALDAS,Goiás,Mundo Novo,Estadual,Urbana,17,489.86,447.11,506.22,505.52,561.18,501.98
10145,35007286,EDINA ALVARES BARBOSA PROFESSORA,São Paulo,Itaquaquecetuba,Estadual,Urbana,69,498.11,451.94,508.54,516.8,534.49,501.98
10146,35003372,ROMEU DE MORAES,São Paulo,São Paulo,Estadual,Urbana,21,497.98,458.2,525.34,508.34,520,501.97
10147,42018153,EEB OSVALDO CRUZ,Santa Catarina,Rodeio,Estadual,Urbana,30,489.51,465.95,527.37,485.67,541.33,501.97
10148,31008630,EE MINISTRO MIGUEL MENDONCA,Minas Gerais,Contagem,Estadual,Urbana,18,498.29,472.69,511.36,500.83,526.67,501.97
10149,13103415,ESCOLA ESTADUAL PROF¬ ELIANA DE FREITAS MORAIS,Amazonas,Manaus,Estadual,Urbana,100,493.64,467.06,511.6,485.29,552.2,501.96
10150,31246336,EE JOEL MARES,Minas Gerais,Almenara,Estadual,Urbana,30,477.6,435.58,508.04,510.57,578,501.96
10151,43026168,ESC EST ENS MED SANTO PAZINI,Rio Grande do Sul,Braga,Estadual,Urbana,15,500.92,442.81,519.75,486.27,560,501.95
10152,33106746,CIEP 165 BRIGADEIRO SERGIO CARVALHO,Rio de Janeiro,Rio de Janeiro,Estadual,Urbana,69,501.37,463.61,521.5,486.98,536.23,501.94
10153,35906967,SALVADOR ALLENDE GOSSENS PRESIDENTE,São Paulo,São Paulo,Estadual,Urbana,12,490.68,454.94,519.88,507.46,536.67,501.92
10154,26185113,ESCOLA TECNICA ESTADUAL PEDRO LEAO LEAL,Pernambuco,São José do Belmonte,Estadual,Urbana,89,491.55,464.96,505.85,513.1,534.16,501.92
10155,29472326,COLEGIO ATHENA,Bahia,Catu,Privada,Urbana,11,475.88,455.57,499.92,472.79,605.45,501.92
10156,42089905,CEDUP VIDAL RAMOS,Santa Catarina,Canoinhas,Estadual,Rural,25,490.64,483.41,507.48,493.63,534.4,501.91
10157,35019033,GILBERTO GIRALDI,São Paulo,Vargem Grande do Sul,Estadual,Urbana,16,502.57,468.62,522.7,494.37,521.25,501.9
10158,29000599,EE - COLEGIO ESTADUAL PIO ALVES DOS SANTOS,Bahia,Baianópolis,Estadual,Urbana,66,461.14,435.38,467.25,464.47,681.21,501.89
10159,31136948,EE SAO GABRIEL,Minas Gerais,CÁssia,Estadual,Urbana,58,470.47,456.56,495.49,510.72,576.21,501.89
10160,23236655,EEEP GUILHERME TELES GOUVEIA,Ceará,Granja,Estadual,Rural,90,486.36,462.61,502.13,498.78,559.56,501.89
10161,53012623,CEM 404 DE SANTA MARIA,Distrito Federal,Brasília,Estadual,Urbana,280,484.87,450.45,506.97,483.76,583.36,501.88
10162,33005664,CE MARIA LENY VIEIRA FERREIRA SILVA,Rio de Janeiro,São José de Ubá,Estadual,Urbana,13,491.03,437.83,496.08,505.97,578.46,501.88
10163,43037275,ESC EST ENS MED DR CARLOS MESKO,Rio Grande do Sul,Canguçu,Estadual,Rural,20,509.42,463.22,503.45,538.27,495,501.87
10164,31124761,EE FRANCISCO ESCOBAR,Minas Gerais,Poços de Caldas,Estadual,Urbana,44,502.28,458.97,517.46,489.69,540.91,501.86
10165,35900175,BENERALDO DE TOLEDO PIZA PROFESSOR,São Paulo,Santo André,Estadual,Urbana,25,492.36,452.87,517.1,486.94,560,501.86
10166,43172636,ESC EST ENS MED OLINDO FLORES DA SILVA,Rio Grande do Sul,São Leopoldo,Estadual,Urbana,31,496.7,445,515.92,501.32,550.32,501.85
10167,35041166,JUSTINO MARCONDES RANGEL PROFESSOR,São Paulo,Ferraz de Vasconcelos,Estadual,Urbana,16,506.79,445.51,508.91,486.8,561.25,501.85
10168,35037163,JOSE NUNES DIAS PADRE ETEC,São Paulo,Monte Aprazível,Estadual,Rural,56,494.49,469.86,514.67,505.91,524.29,501.84
10169,35908149,ALZIRA VALLE ROLEMBERG PROFESSORA,São Paulo,São José do Rio Preto,Estadual,Urbana,46,498.24,453.75,526.64,493.17,537.39,501.84
10170,35020382,AGENOR DE CARVALHO CAPITAO,São Paulo,Estiva Gerbi,Estadual,Urbana,32,494.1,458.71,517.43,485.22,553.75,501.84
10171,24087360,CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL PROFESSORA MARIA RODRIGUES GONCALVES,Rio Grande do Norte,Alto do Rodrigues,Estadual,Urbana,50,471.8,453.02,506.39,488.39,589.6,501.84
10172,35013821,JOAO FELICIANO,São Paulo,Jacareí,Estadual,Urbana,19,490.39,463.96,511.95,516.57,526.32,501.84
10173,41023080,JOSE LUIZ GORI C E EF M PROFIS,Paraná,Mandaguari,Estadual,Urbana,85,490.03,462.37,507.95,505.3,543.53,501.83
10174,23168749,EEFM BELARMINO LINS DE MEDEIROS,Ceará,Abaiara,Estadual,Urbana,86,456.77,425.08,476.65,464.38,686.28,501.83
10175,41117662,CASIMIRO DE ABREU C E EF M,Paraná,Porto Vitória,Estadual,Urbana,13,521.65,441.68,507.39,527.64,510.77,501.83
10176,43169376,ESC TECNICA EST DR RUBENS DA ROSA GUEDES,Rio Grande do Sul,Caçapava do Sul,Estadual,Rural,25,480.52,496.14,505.41,490.26,536.8,501.82
10177,35919019,ADA CARIANI AVALONE PROFA,São Paulo,Bauru,Estadual,Urbana,23,498.71,443.84,528.52,476.3,561.74,501.82
10178,50016873,EE ANTONIO VICENTE AZAMBUJA,Mato Grosso do Sul,Dourados,Estadual,Rural,15,502.75,482.95,510.9,463.13,549.33,501.81
10179,31103829,EE PROFESSOR JOSE MADUREIRA DE OLIVEIRA,Minas Gerais,Santo Antônio do Rio Abaixo,Estadual,Urbana,12,506.63,463.09,501.34,511.21,526.67,501.79
10180,41098153,SANTA CLARA C E EF M P N,Paraná,Candói,Estadual,Urbana,47,492.25,450.38,507.6,491.05,567.66,501.79
10181,43171591,ESC EST ED BAS OSMAR DA ROCHA GRAFULHA,Rio Grande do Sul,Pelotas,Estadual,Urbana,79,506.61,450.84,521.27,491.48,538.73,501.79
10182,41135709,HUMBERTO A CASTELO BRANCO C E EF M PROFI,Paraná,Pinhais,Estadual,Urbana,37,500.51,468.09,520.97,517.74,501.62,501.79
10183,31034584,EE FREI ORLANDO,Minas Gerais,Morada Nova de Minas,Estadual,Urbana,22,515.85,455.75,512.31,516.8,508.18,501.78
10184,35019306,FRANCISCO NOGUEIRA DE LIMA DR ETEC,São Paulo,Casa Branca,Estadual,Urbana,73,500.18,464.18,516.51,496.77,531.23,501.78
10185,33024537,CE JANUARIO DE TOLEDO PIZZA,Rio de Janeiro,São Sebastião do Alto,Estadual,Urbana,13,494.22,453.87,498.7,509.78,552.31,501.78
10186,51065983,EE PROFESSORA NEIDE ENARA SIMA,Mato Grosso,Nova Monte Verde,Estadual,Urbana,14,506.11,485.88,511.54,531.04,474.29,501.77
10187,11029480,EEEFM TANCREDO DE ALMEIDA NEVES,Rondônia,Rolim de Moura,Estadual,Urbana,35,485.11,462.53,507.7,494,559.43,501.75
10188,27029336,ESCOLA ESTADUAL DELMO FERREIRA DA SILVA,Alagoas,Jundiá,Estadual,Urbana,20,481.46,467.18,485.68,501.42,573,501.75
10189,35030173,OSWALDO JANUZZI PROFESSOR,São Paulo,Buritama,Estadual,Urbana,34,482.59,452.49,517.84,524.03,531.76,501.74
10190,33103119,CIEP 393 PREFEITO CARLOS EMIR MUSSI,Rio de Janeiro,Macaé,Estadual,Urbana,72,492.15,455.81,514.52,502.01,544.17,501.73
10191,33069921,CE GOMES FREIRE DE ANDRADE,Rio de Janeiro,Rio de Janeiro,Estadual,Urbana,133,493.46,460.83,524.16,500.73,529.47,501.73
10192,35000498,LUIZ GONZAGA RIGHINI PROFESSOR,São Paulo,São Paulo,Estadual,Urbana,16,500.74,439.31,511.06,493.75,563.75,501.72
10193,35049585,ANNA PASSAMONTI BALARDIN,São Paulo,Sertãozinho,Estadual,Urbana,75,488.61,473.64,511.45,513.83,521.07,501.72
10194,35906207,YERVANT KISSAJIKIAN,São Paulo,São Paulo,Estadual,Urbana,20,521.75,472.73,544.09,507.02,463,501.72
10195,42085659,EEB PROF OLGA NUNES DE ABREU,Santa Catarina,Coronel Martins,Estadual,Urbana,21,494.97,434.59,496.21,525.66,557.14,501.71
10196,11034998,EEEM TANCREDO DE ALMEIDA NEVES,Rondônia,Cerejeiras,Estadual,Urbana,75,475.41,460.1,493.65,486.3,593.07,501.71
